행정구역(시군구)별,연령별,2021. 08,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울특별시,계,9550227,10312545,10249679,10195318,10143645,10103233,10022181,9930616,9857426,9765623,9729107,9668465
종로구,계,145551,170578,168382,165207,160070,156993,154986,152737,154770,153065,151290,149384
중구,계,122852,132822,133193,133360,130465,128065,125733,125249,125709,125725,126171,125240
용산구,계,224977,244853,246501,243232,239740,235951,233342,230241,229161,228999,228670,230040
성동구,계,288214,309093,300711,299604,299337,296086,297003,299259,304808,308221,300889,293556
광진구,계,341505,375463,371936,371313,368927,363354,360369,357215,357703,355559,351350,346682
동대문구,계,337857,366786,365486,363258,364273,363687,360153,355069,350647,348052,346194,342837
중랑구,계,388911,427455,423706,419295,416798,418836,413909,411005,408226,403209,397015,394702
성북구,계,432815,488932,485171,481857,476589,466706,459275,450355,444055,435868,442650,437153
강북구,계,301430,346520,345054,343157,338707,335025,330873,327195,324479,319164,313954,308055
도봉구,계,319211,368298,365573,362270,358582,353709,351242,348220,344166,339413,333362,325257
노원구,계,514050,611230,603930,597189,590479,582552,574583,567581,554403,543752,532905,523037
은평구,계,474414,488109,493634,501480,503660,498644,497920,491476,486794,483197,480032,479835
서대문구,계,306472,324541,314852,315113,314110,310376,312141,314194,312800,310313,309397,312173
마포구,계,370053,391865,389493,384644,381856,385439,387643,379892,374915,375077,374035,371890
양천구,계,449603,500001,500210,495911,492528,486221,484532,477739,471154,464185,458165,454251
강서구,계,576361,574127,569072,567431,569070,585160,589074,595485,601691,596949,591796,580185
구로구,계,397887,423736,427468,427520,424964,425831,422092,417551,410742,404497,406664,404408
금천구,계,230759,245195,243438,243288,241020,238463,236284,235386,235154,233917,232810,231733
영등포구,계,377655,406833,397443,391408,386471,382352,378504,370613,368550,367778,367678,379480
동작구,계,387558,402709,401408,405491,410815,407470,400641,400997,396217,396203,395963,391220
관악구,계,488304,531434,526397,523029,518028,513186,509663,506851,503297,501957,500094,495060
서초구,계,417568,434720,433564,435044,441763,449678,446764,447192,441102,433951,430826,425126
강남구,계,532818,570095,565710,564197,563599,578114,576495,567115,556164,542364,545169,539231
송파구,계,658991,685279,682209,673115,668415,664738,660302,657831,664496,666635,675961,667960
강동구,계,464411,491871,495138,487905,483379,476597,458658,444168,436223,427573,436067,459970
